phase,mode,architecture,seed,qubits,optimizer,final,best,evals
phase2,shot-noise,resqnet,20,8,cobyla,0.030303030303030304,-0.23232323232323232,850
phase2,shot-noise,resqnet,20,8,qnspsa,-0.010101010101010102,-0.5757575757575758,1200
phase2,shot-noise,resqnet,30,16,cobyla,0.050505050505050504,-0.41414141414141414,2010
phase2,shot-noise,resqnet,30,16,qnspsa,-0.35353535353535354,-0.7171717171717171,2346
phase2,shot-noise,resqnet,30,4,cobyla,-0.7575757575757576,-0.9191919191919192,427
phase2,shot-noise,resqnet,30,4,qnspsa,-0.6363636363636364,-0.9191919191919192,628
phase2,shot-noise,resqnet,30,8,cobyla,0.0707070707070707,-0.2727272727272727,773
phase2,shot-noise,resqnet,30,8,qnspsa,-0.15151515151515152,-0.6767676767676768,1200
phase2,shot-noise,resqnet,40,16,cobyla,0.050505050505050504,-0.29292929292929293,2008
phase2,shot-noise,resqnet,40,16,qnspsa,-0.7373737373737373,-0.9191919191919192,2346
phase2,shot-noise,resqnet,40,4,cobyla,-0.494949494949495,-0.8181818181818182,398
phase2,shot-noise,resqnet,40,4,qnspsa,-0.050505050505050504,-0.9797979797979798,628
phase2,shot-noise,resqnet,40,8,cobyla,-0.09090909090909091,-0.31313131313131315,847
phase2,shot-noise,resqnet,40,8,qnspsa,-0.31313131313131315,-0.7373737373737373,1200
phase2,shot-noise,resqnet,50,16,cobyla,-0.5151515151515151,-0.7777777777777778,1961
phase2,shot-noise,resqnet,50,16,qnspsa,-0.3939393939393939,-0.8787878787878788,2346
phase2,shot-noise,resqnet,50,4,cobyla,-0.7373737373737373,-0.8585858585858586,392
phase2,shot-noise,resqnet,50,4,qnspsa,-0.09090909090909091,-0.898989898989899,628
phase2,shot-noise,resqnet,50,8,cobyla,-0.0707070707070707,-0.37373737373737376,890
phase2,shot-noise,resqnet,50,8,qnspsa,-0.3333333333333333,-0.8181818181818182,1200
phase3,ideal,baseline,10,16,nft,-0.9999997095801328,-0.9999997095801341,6000
phase3,ideal,baseline,10,4,nft,-0.9999999999987008,-0.9999999999987008,900
phase3,ideal,baseline,10,8,nft,-0.9999999999999999,-1.0000000000000013,2400
phase3,ideal,baseline,20,16,nft,-0.9999999999999918,-1.000000000000012,6000
phase3,ideal,baseline,20,4,nft,-1.0000000000000007,-1.0000000000000009,900
phase3,ideal,baseline,20,8,nft,-0.999999385995563,-0.9999993859955634,2400
phase3,ideal,baseline,30,16,nft,-0.9999999999999964,-1.0000000000000056,6000
phase3,ideal,baseline,30,4,nft,-1.000000000000001,-1.0000000000000013,900
phase3,ideal,baseline,30,8,nft,-0.9999999999999993,-1.0000000000000013,2400
phase3,ideal,baseline,40,16,nft,-0.9999999999999981,-1.00000000000001,6000
phase3,ideal,baseline,40,4,nft,-1.0000000000000004,-1.000000000000001,900
phase3,ideal,baseline,40,8,nft,-1.000000000000001,-1.0000000000000016,2400
phase3,ideal,baseline,50,16,nft,-1.0000000000000004,-1.0000000000000107,6000
phase3,ideal,baseline,50,4,nft,-1.0,-1.000000000000001,900
phase3,ideal,baseline,50,8,nft,-0.9999999999999996,-1.0000000000000004,2400
phase3,shot-noise,baseline,10,16,nft,-1.0,-1.0,6000
phase3,shot-noise,baseline,10,4,nft,-1.0,-1.0,900
phase3,shot-noise,baseline,10,8,nft,-1.0,-1.0,2400
phase3,shot-noise,baseline,20,16,nft,-0.9797979797979798,-1.0,6000
phase3,shot-noise,baseline,20,4,nft,-0.9797979797979798,-1.0,900
phase3,shot-noise,baseline,20,8,nft,-1.0,-1.0,2400
phase3,shot-noise,baseline,30,16,nft,-0.9595959595959596,-1.0,6000
phase3,shot-noise,baseline,30,4,nft,-1.0,-1.0,900
phase3,shot-noise,baseline,30,8,nft,-1.0,-1.0,2400
phase3,shot-noise,baseline,40,16,nft,-0.9797979797979798,-1.0,6000
phase3,shot-noise,baseline,40,4,nft,-0.9797979797979798,-1.0,900
phase3,shot-noise,baseline,40,8,nft,-1.0,-1.0,2400
phase3,shot-noise,baseline,50,16,nft,-1.0,-1.0,6000
phase3,shot-noise,baseline,50,4,nft,-1.0,-1.0,900
phase3,shot-noise,baseline,50,8,nft,-1.0,-1.0,2400
phase3,ideal,qcnn,10,16,nft,-0.9999999999999981,-1.0000000000000127,4050
phase3,ideal,qcnn,10,4,nft,-1.0000000000000002,-1.0000000000000009,675
phase3,ideal,qcnn,10,8,nft,-0.9999999999999999,-1.0000000000000013,1762
phase3,ideal,qcnn,20,16,nft,-1.0000000000000013,-1.0000000000000115,4050
phase3,ideal,qcnn,20,4,nft,-1.0,-1.000000000000001,675
phase3,ideal,qcnn,20,8,nft,-1.0000000000000004,-1.000000000000001,1762
phase3,ideal,qcnn,30,16,nft,-0.9999999999999978,-1.000000000000013,4050
phase3,ideal,qcnn,30,4,nft,-1.0000000000000002,-1.0000000000000013,675
phase3,ideal,qcnn,30,8,nft,-1.0000000000000007,-1.0000000000000018,1762
phase3,ideal,qcnn,40,16,nft,-0.9999999999999978,-1.000000000000011,4050
phase3,ideal,qcnn,40,4,nft,-1.0,-1.0000000000000013,675
phase3,ideal,qcnn,40,8,nft,-1.0,-1.0000000000000018,1762
phase3,ideal,qcnn,50,16,nft,-0.9999999999999956,-1.0000000000000138,4050
phase3,ideal,qcnn,50,4,nft,-0.9999999999999996,-1.0000000000000009,675
phase3,ideal,qcnn,50,8,nft,-0.9999999999999994,-1.000000000000002,1762
phase3,shot-noise,qcnn,10,16,nft,-1.0,-1.0,4050
phase3,shot-noise,qcnn,10,4,nft,-1.0,-1.0,675
phase3,shot-noise,qcnn,10,8,nft,-1.0,-1.0,1762
phase3,shot-noise,qcnn,20,16,nft,-1.0,-1.0,4050
phase3,shot-noise,qcnn,20,4,nft,-1.0,-1.0,675
phase3,shot-noise,qcnn,20,8,nft,-1.0,-1.0,1762
phase3,shot-noise,qcnn,30,16,nft,-1.0,-1.0,4050
phase3,shot-noise,qcnn,30,4,nft,-1.0,-1.0,675
phase3,shot-noise,qcnn,30,8,nft,-1.0,-1.0,1762
phase3,shot-noise,qcnn,40,16,nft,-1.0,-1.0,4050
phase3,shot-noise,qcnn,40,4,nft,-1.0,-1.0,675
phase3,shot-noise,qcnn,40,8,nft,-1.0,-1.0,1762
phase3,shot-noise,qcnn,50,16,nft,-1.0,-1.0,4050
phase3,shot-noise,qcnn,50,4,nft,-1.0,-1.0,675
phase3,shot-noise,qcnn,50,8,nft,-1.0,-1.0,1762
phase3,ideal,resqnet,10,16,nft,-0.9998703199510344,-0.99993668110795,8400
phase3,ideal,resqnet,10,4,nft,-0.5351541807353539,-0.9999773440427807,2100
phase3,ideal,resqnet,10,8,nft,-0.3672844004400673,-0.9992611265169754,4200
phase3,ideal,resqnet,20,16,nft,-0.9997389866045724,-0.9999674440995844,8400
phase3,ideal,resqnet,20,4,nft,-0.4140810799284792,-0.9999919630772396,2100
phase3,ideal,resqnet,20,8,nft,-0.8958016870229772,-0.9998213761811864,4200
phase3,ideal,resqnet,30,16,nft,-0.9999708760642997,-0.9999821106003983,8400
phase3,ideal,resqnet,30,4,nft,-0.7153287781302539,-0.9999952860526875,2100
phase3,ideal,resqnet,30,8,nft,-0.011327871705513207,-0.9998482065878631,4200
phase3,ideal,resqnet,40,16,nft,-0.9999732962364855,-0.999977466921117,8400
phase3,ideal,resqnet,40,4,nft,-0.6342909088804658,-0.99991344067466,2100
phase3,ideal,resqnet,40,8,nft,-0.00735107741068419,-0.9999872858659187,4200
phase3,ideal,resqnet,50,16,nft,-0.9990886698929259,-0.9999868092417552,8400
phase3,ideal,resqnet,50,4,nft,-0.2493946839718874,-0.999996119507935,2100
phase3,ideal,resqnet,50,8,nft,-0.689189122470771,-0.999992902445419,4200
phase3,shot-noise,resqnet,10,16,nft,-0.8181818181818182,-1.0,8400
phase3,shot-noise,resqnet,10,4,nft,-0.5151515151515151,-1.0,2100
phase3,shot-noise,resqnet,10,8,nft,-0.9393939393939394,-1.0,4200
phase3,shot-noise,resqnet,20,16,nft,-0.9797979797979798,-1.0,8400
phase3,shot-noise,resqnet,20,4,nft,-0.31313131313131315,-1.0,2100
phase3,shot-noise,resqnet,20,8,nft,-0.6767676767676768,-1.0,4200
phase3,shot-noise,resqnet,30,16,nft,-0.9797979797979798,-1.0,8400
phase3,shot-noise,resqnet,30,4,nft,-0.797979797979798,-1.0,2100
phase3,shot-noise,resqnet,30,8,nft,-0.29292929292929293,-1.0,4200
phase3,shot-noise,resqnet,40,16,nft,-0.9797979797979798,-1.0,8400
phase3,shot-noise,resqnet,40,4,nft,-0.43434343434343436,-1.0,2100
phase3,shot-noise,resqnet,40,8,nft,-0.9191919191919192,-1.0,4200
phase3,shot-noise,resqnet,50,16,nft,-0.898989898989899,-1.0,8400
phase3,shot-noise,resqnet,50,4,nft,-0.494949494949495,-1.0,2100
phase3,shot-noise,resqnet,50,8,nft,-0.47474747474747475,-1.0,4200
